id,name,type,image,sound,phonemeSound
silver,silver,4,eng/image/silver.png,eng/audio/silver.ogg,eng/audio/silver.ogg
walk,walk,4,eng/image/walk.png,eng/audio/walk.ogg,eng/audio/walk.ogg
sister in law,sister in law,4,eng/image/sister in law.png,eng/audio/sister in law.ogg,eng/audio/sister in law.ogg
jeep,jeep,4,eng/image/jeep.png,eng/audio/jeep.ogg,eng/audio/jeep.ogg
salt,salt,4,eng/image/salt.png,eng/audio/salt.ogg,eng/audio/salt.ogg
cream,cream,4,eng/image/cream.png,eng/audio/cream.ogg,eng/audio/cream.ogg
hail storm,hail storm,4,eng/image/hail storm.png,eng/audio/hail storm.ogg,eng/audio/hail storm.ogg
tanker,tanker,4,eng/image/tanker.png,eng/audio/tanker.ogg,eng/audio/tanker.ogg
upset,upset,4,eng/image/upset.png,eng/audio/upset.ogg,eng/audio/upset.ogg
fist,fist,4,eng/image/fist.png,eng/audio/fist.ogg,eng/audio/fist.ogg
slippers,slippers,4,eng/image/slippers.png,eng/audio/slippers.ogg,eng/audio/slippers.ogg
jupiter,jupiter,4,eng/image/jupiter.png,eng/audio/jupiter.ogg,eng/audio/jupiter.ogg
cut,cut,4,eng/image/cut.png,eng/audio/cut.ogg,eng/audio/cut.ogg
chili pepper,chili pepper,4,eng/image/chili pepper.png,eng/audio/chili pepper.ogg,eng/audio/chili pepper.ogg
measure,measure,4,eng/image/measure.png,eng/audio/measure.ogg,eng/audio/measure.ogg
dust,dust,4,eng/image/dust.png,eng/audio/dust.ogg,eng/audio/dust.ogg
thursday,thursday,4,eng/image/thursday.png,eng/audio/thursday.ogg,eng/audio/thursday.ogg
pipe,pipe,4,eng/image/pipe.png,eng/audio/pipe.ogg,eng/audio/pipe.ogg
coffee,coffee,4,eng/image/coffee.png,eng/audio/coffee.ogg,eng/audio/coffee.ogg
ear,ear,4,eng/image/ear.png,eng/audio/ear.ogg,eng/audio/ear.ogg
ape,ape,4,eng/image/ape.png,eng/audio/ape.ogg,eng/audio/ape.ogg
grand parents,grand parents,4,eng/image/grand parents.png,eng/audio/grand parents.ogg,eng/audio/grand parents.ogg
xylophone,xylophone,4,eng/image/xylophone.png,eng/audio/xylophone.ogg,eng/audio/xylophone.ogg
fry,fry,4,eng/image/fry.png,eng/audio/fry.ogg,eng/audio/fry.ogg
rat,rat,4,eng/image/rat.png,eng/audio/rat.ogg,eng/audio/rat.ogg
nephew,nephew,4,eng/image/nephew.png,eng/audio/nephew.ogg,eng/audio/nephew.ogg
scorpion,scorpion,4,eng/image/scorpion.png,eng/audio/scorpion.ogg,eng/audio/scorpion.ogg
donkey,donkey,4,eng/image/donkey.png,eng/audio/donkey.ogg,eng/audio/donkey.ogg
forearm,forearm,4,eng/image/forearm.png,eng/audio/forearm.ogg,eng/audio/forearm.ogg
door,door,4,eng/image/door.png,eng/audio/door.ogg,eng/audio/door.ogg
hawk,hawk,4,eng/image/hawk.png,eng/audio/hawk.ogg,eng/audio/hawk.ogg
vase,vase,4,eng/image/vase.png,eng/audio/vase.ogg,eng/audio/vase.ogg
nose,nose,4,eng/image/nose.png,eng/audio/nose.ogg,eng/audio/nose.ogg
last night,last night,4,eng/image/last night.png,eng/audio/last night.ogg,eng/audio/last night.ogg
mosquito,mosquito,4,eng/image/mosquito.png,eng/audio/mosquito.ogg,eng/audio/mosquito.ogg
chico fruit,chico fruit,4,eng/image/chico fruit.png,eng/audio/chico fruit.ogg,eng/audio/chico fruit.ogg
quiz,quiz,4,eng/image/quiz.png,eng/audio/quiz.ogg,eng/audio/quiz.ogg
fan,fan,4,eng/image/fan.png,eng/audio/fan.ogg,eng/audio/fan.ogg
december,december,4,eng/image/december.png,eng/audio/december.ogg,eng/audio/december.ogg
